crop,storage_type,freshness_score,temperature,humidity,has_rotten_data,raw_days,spoilage_label
apple,refrigerator,0.4973,6.33,92.84,1,14.1,7+ days
apple,refrigerator,0.6635,7.36,92.26,1,19.52,7+ days
apple,room_temp,0.0613,25.07,91.91,1,2.84,2-4 days
apple,refrigerator,0.2143,5.8,83.87,1,10.7,7+ days
apple,room_temp,0.0515,37.91,47.39,1,3.44,2-4 days
apple,room_temp,0.403,28.05,57.99,1,4.74,4-7 days
apple,refrigerator,0.0645,4.13,90.79,1,8.09,7+ days
apple,room_temp,0.1102,32.28,38.09,1,3.78,2-4 days
apple,room_temp,0.3243,28.44,49.78,1,5.78,4-7 days
apple,refrigerator,0.7049,7.7,86.69,1,23.61,7+ days
apple,room_temp,0.3487,29.75,48.27,1,5.66,4-7 days
apple,freezer,0.9131,-13.03,55.95,1,124.81,7+ days
apple,freezer,0.5468,-14.04,54.6,1,93.3,7+ days
apple,room_temp,0.2754,25.65,72.55,1,3.99,2-4 days
apple,freezer,0.787,-16.49,65.34,1,101.0,7+ days
apple,room_temp,0.1189,23.73,41.63,1,4.28,4-7 days
apple,room_temp,0.0768,40.8,82.18,1,1.82,1-2 days
apple,room_temp,0.3051,30.3,48.84,1,4.89,4-7 days
apple,room_temp,0.3793,34.7,44.23,1,4.3,4-7 days
apple,refrigerator,0.1401,7.73,92.93,1,9.97,7+ days
apple,refrigerator,0.5567,2.49,83.3,1,19.64,7+ days
apple,refrigerator,0.1626,5.39,84.01,1,9.63,7+ days
apple,freezer,0.7525,-13.81,65.05,1,105.11,7+ days
apple,room_temp,0.2805,37.63,84.93,1,5.14,4-7 days
apple,refrigerator,0.112,6.68,81.6,1,8.6,7+ days
apple,refrigerator,0.6673,6.25,81.01,1,20.77,7+ days
apple,refrigerator,0.6998,2.13,84.85,1,19.7,7+ days
apple,room_temp,0.3299,37.08,76.62,1,5.45,4-7 days
apple,room_temp,0.3492,33.32,58.86,1,3.78,2-4 days
apple,room_temp,0.0571,41.24,46.13,1,3.52,2-4 days
apple,freezer,0.5785,-13.83,65.93,1,89.84,7+ days
apple,room_temp,0.4225,24.46,82.85,1,4.72,4-7 days
apple,room_temp,0.666,38.64,81.79,1,6.43,4-7 days
apple,room_temp,0.3913,31.43,35.59,1,5.59,4-7 days
apple,room_temp,0.3074,34.55,83.04,1,4.52,4-7 days
apple,room_temp,0.3389,35.14,83.1,1,3.52,2-4 days
apple,room_temp,0.149,35.56,39.9,1,4.41,4-7 days
apple,room_temp,0.4081,31.33,78.15,1,4.66,4-7 days
apple,room_temp,0.1761,29.1,87.1,1,5.28,4-7 days
apple,refrigerator,0.602,4.92,93.1,1,21.16,7+ days
apple,freezer,0.9198,-18.68,64.32,1,103.15,7+ days
apple,freezer,0.5558,-15.55,60.3,1,69.04,7+ days
apple,room_temp,0.5446,21.14,93.19,1,7.12,7+ days
apple,room_temp,0.4737,32.81,77.41,1,4.9,4-7 days
apple,room_temp,0.4577,38.84,47.35,1,4.19,4-7 days
apple,room_temp,0.3841,19.0,43.9,1,5.37,4-7 days
apple,freezer,0.5562,-13.33,52.79,1,93.95,7+ days
apple,room_temp,0.0884,34.62,85.29,1,2.42,2-4 days
apple,freezer,0.6819,-13.23,54.31,1,95.14,7+ days
apple,refrigerator,0.6803,5.4,91.08,1,19.78,7+ days
apple,freezer,0.709,-18.8,60.89,1,87.2,7+ days
apple,room_temp,0.3307,23.45,39.39,1,5.23,4-7 days
apple,refrigerator,0.5723,4.05,85.7,1,20.03,7+ days
apple,room_temp,0.2744,22.7,35.45,1,5.67,4-7 days
apple,refrigerator,0.1938,3.54,84.27,1,14.08,7+ days
apple,room_temp,0.0894,22.35,75.87,1,4.69,4-7 days
apple,room_temp,0.4824,33.2,92.08,1,5.69,4-7 days
apple,refrigerator,0.3057,4.12,83.55,1,15.9,7+ days
apple,refrigerator,0.3861,3.01,91.05,1,14.11,7+ days
apple,freezer,0.5227,-14.06,59.94,1,68.01,7+ days
apple,freezer,0.6678,-18.96,64.49,1,74.85,7+ days
apple,refrigerator,0.8401,2.42,87.79,1,21.33,7+ days
apple,room_temp,0.1766,34.07,94.65,1,4.12,4-7 days
apple,refrigerator,0.7719,3.21,88.04,1,22.77,7+ days
apple,room_temp,0.1812,30.5,72.42,1,4.08,4-7 days
apple,room_temp,0.4772,40.49,68.23,1,6.44,4-7 days
apple,room_temp,0.0826,23.0,90.84,1,3.32,2-4 days
apple,room_temp,0.3308,27.67,45.41,1,6.63,4-7 days
apple,refrigerator,0.2121,3.05,87.54,1,11.69,7+ days
apple,room_temp,0.2145,28.38,53.71,1,3.69,2-4 days
apple,refrigerator,0.4599,6.68,86.9,1,16.39,7+ days
apple,room_temp,0.3955,19.5,65.57,1,8.04,7+ days
apple,freezer,0.8616,-15.5,53.89,1,114.94,7+ days
apple,room_temp,0.2857,24.24,80.62,1,4.96,4-7 days
apple,room_temp,0.1295,38.26,40.88,1,3.3,2-4 days
apple,room_temp,0.185,39.41,92.32,1,1.98,1-2 days
apple,refrigerator,0.1828,7.37,89.55,1,11.07,7+ days
apple,refrigerator,0.5408,6.3,81.08,1,15.06,7+ days
apple,room_temp,0.2283,22.44,45.45,1,3.68,2-4 days
apple,room_temp,0.5074,22.94,42.28,1,7.7,7+ days
apple,refrigerator,0.6208,5.94,81.92,1,21.77,7+ days
apple,room_temp,0.1266,33.5,52.15,1,4.69,4-7 days
apple,refrigerator,0.1459,6.66,89.84,1,12.94,7+ days
apple,room_temp,0.2109,23.12,65.35,1,5.1,4-7 days
apple,refrigerator,0.3919,5.82,91.42,1,17.06,7+ days
apple,room_temp,0.3814,22.9,68.31,1,6.03,4-7 days
apple,refrigerator,0.8823,3.83,93.15,1,25.31,7+ days
apple,freezer,0.8625,-19.97,62.39,1,96.8,7+ days
apple,room_temp,0.0518,31.46,71.21,1,3.9,2-4 days
apple,refrigerator,0.1771,6.25,91.83,1,13.29,7+ days
apple,refrigerator,0.6134,7.99,94.0,1,19.02,7+ days
apple,refrigerator,0.1037,5.53,82.77,1,10.23,7+ days
apple,room_temp,0.6796,24.22,60.78,1,7.48,7+ days
apple,freezer,0.7556,-12.7,65.31,1,107.05,7+ days
apple,room_temp,0.6435,39.75,49.97,1,7.18,7+ days
apple,room_temp,0.3989,39.6,36.31,1,5.91,4-7 days
apple,refrigerator,0.6891,3.54,89.81,1,24.67,7+ days
apple,room_temp,0.1852,31.47,66.4,1,4.39,4-7 days
apple,room_temp,0.1551,21.98,91.74,1,4.99,4-7 days
apple,refrigerator,0.6463,4.76,80.78,1,21.42,7+ days
apple,refrigerator,0.8884,7.28,93.06,1,21.39,7+ days
apple,room_temp,0.2075,29.95,41.33,1,4.37,4-7 days
apple,refrigerator,0.9485,5.47,89.52,1,28.61,7+ days
apple,refrigerator,0.3625,7.44,84.15,1,14.47,7+ days
apple,freezer,0.8363,-19.17,67.65,1,85.82,7+ days
apple,refrigerator,0.8019,4.56,82.43,1,22.83,7+ days
apple,room_temp,0.4214,37.66,67.45,1,5.53,4-7 days
apple,refrigerator,0.241,3.04,90.68,1,12.0,7+ days
apple,refrigerator,0.2008,4.11,92.62,1,10.3,7+ days
apple,room_temp,0.5092,38.54,48.63,1,7.78,7+ days
apple,refrigerator,0.2109,7.23,91.49,1,11.34,7+ days
apple,refrigerator,0.0985,7.19,88.2,1,11.16,7+ days
apple,room_temp,0.1425,25.01,89.65,1,5.23,4-7 days
apple,refrigerator,0.3868,2.68,90.56,1,17.41,7+ days
apple,refrigerator,0.9521,6.46,80.72,1,21.31,7+ days
apple,freezer,0.8103,-19.65,61.66,1,112.12,7+ days
apple,freezer,0.6796,-11.21,61.44,1,101.05,7+ days
apple,refrigerator,0.3763,5.79,88.88,1,14.91,7+ days
apple,refrigerator,0.7557,6.46,87.59,1,19.67,7+ days
apple,refrigerator,0.3285,3.99,87.23,1,12.01,7+ days
apple,room_temp,0.1106,30.3,52.61,1,4.07,4-7 days
apple,freezer,0.5035,-12.98,69.86,1,72.16,7+ days
apple,room_temp,0.2057,37.77,92.3,1,2.6,2-4 days
apple,refrigerator,0.3326,4.3,86.84,1,11.67,7+ days
apple,room_temp,0.3469,34.29,56.72,1,3.81,2-4 days
apple,refrigerator,0.2963,2.4,88.01,1,11.2,7+ days
apple,room_temp,0.5789,33.65,85.74,1,4.27,4-7 days
apple,refrigerator,0.6058,7.15,93.75,1,18.81,7+ days
apple,room_temp,0.3243,28.33,43.56,1,4.87,4-7 days
apple,freezer,0.8926,-16.89,63.54,1,98.01,7+ days
apple,refrigerator,0.236,5.03,94.46,1,12.18,7+ days
apple,room_temp,0.1234,39.6,41.97,1,1.9,1-2 days
apple,freezer,0.9613,-14.59,53.08,1,101.44,7+ days
apple,refrigerator,0.1098,4.05,84.05,1,10.85,7+ days
apple,freezer,0.7091,-10.06,67.61,1,92.77,7+ days
apple,refrigerator,0.5966,7.78,93.64,1,19.72,7+ days
apple,refrigerator,0.6908,7.66,82.23,1,21.12,7+ days
apple,room_temp,0.508,27.28,65.68,1,8.79,7+ days
apple,room_temp,0.1455,22.81,41.56,1,4.72,4-7 days
apple,freezer,0.7727,-10.74,50.38,1,93.13,7+ days
apple,room_temp,0.01,23.06,92.45,1,3.39,2-4 days
apple,room_temp,0.143,21.43,80.21,1,5.53,4-7 days
apple,refrigerator,0.4382,4.44,80.99,1,17.46,7+ days
apple,room_temp,0.4971,30.01,82.67,1,4.66,4-7 days
apple,refrigerator,0.2231,4.43,93.59,1,10.38,7+ days
apple,room_temp,0.1058,39.33,65.19,1,2.89,2-4 days
apple,room_temp,0.067,31.26,66.21,1,3.6,2-4 days
apple,room_temp,0.4081,25.62,35.01,1,7.3,7+ days
apple,refrigerator,0.3805,4.16,84.06,1,12.62,7+ days
apple,refrigerator,0.3918,6.12,87.41,1,14.44,7+ days
apple,room_temp,0.2318,40.82,77.15,1,3.91,2-4 days
apple,room_temp,0.2734,28.98,47.53,1,3.83,2-4 days
apple,room_temp,0.3996,29.33,87.81,1,4.99,4-7 days
apple,room_temp,0.439,27.48,77.79,1,6.82,4-7 days
apple,room_temp,0.6629,18.35,57.75,1,9.96,7+ days
apple,room_temp,0.1314,29.14,92.81,1,2.26,2-4 days
apple,refrigerator,0.41,2.11,84.4,1,17.06,7+ days
apple,refrigerator,0.7295,2.14,93.48,1,21.67,7+ days
apple,refrigerator,0.8445,6.48,87.11,1,26.17,7+ days
apple,room_temp,0.255,21.38,72.34,1,6.61,4-7 days
apple,refrigerator,0.2784,7.5,84.36,1,14.05,7+ days
apple,room_temp,0.4946,40.99,66.78,1,7.08,7+ days
apple,room_temp,0.3526,19.05,44.94,1,5.97,4-7 days
apple,room_temp,0.0552,22.73,92.09,1,2.69,2-4 days
apple,freezer,0.8704,-10.19,53.8,1,111.48,7+ days
apple,refrigerator,0.3549,6.31,83.71,1,17.4,7+ days
apple,refrigerator,0.6906,5.81,83.33,1,22.22,7+ days
apple,room_temp,0.1154,24.93,58.87,1,5.16,4-7 days
apple,freezer,0.6742,-14.23,57.14,1,105.44,7+ days
apple,refrigerator,0.2846,2.23,80.54,1,12.36,7+ days
apple,room_temp,0.107,24.78,56.18,1,5.14,4-7 days
apple,freezer,0.9696,-18.14,56.63,1,129.9,7+ days
apple,freezer,0.5438,-16.68,63.87,1,69.11,7+ days
apple,refrigerator,0.2522,6.59,80.0,1,13.98,7+ days
apple,room_temp,0.3603,35.5,93.01,1,4.58,4-7 days
apple,room_temp,0.1014,22.36,57.26,1,4.6,4-7 days
apple,freezer,0.739,-12.91,53.35,1,104.32,7+ days
apple,refrigerator,0.6017,2.62,87.71,1,19.93,7+ days
apple,refrigerator,0.0928,6.37,92.93,1,9.83,7+ days
apple,room_temp,0.2168,31.49,91.83,1,4.77,4-7 days
apple,room_temp,0.3889,34.92,84.03,1,4.55,4-7 days
apple,refrigerator,0.7056,4.38,81.98,1,25.04,7+ days
apple,freezer,0.7902,-14.28,66.66,1,83.5,7+ days
apple,freezer,0.9084,-16.66,64.65,1,85.02,7+ days
apple,room_temp,0.108,40.67,73.5,1,1.71,1-2 days
apple,refrigerator,0.8595,7.88,81.01,1,25.05,7+ days
apple,refrigerator,0.7493,4.39,83.96,1,19.06,7+ days
apple,room_temp,0.1507,25.13,40.52,1,4.5,4-7 days
apple,refrigerator,0.698,3.63,88.97,1,22.0,7+ days
apple,freezer,0.7353,-12.99,63.6,1,109.2,7+ days
apple,room_temp,0.2079,34.14,93.62,1,2.17,2-4 days
apple,room_temp,0.1835,35.36,35.54,1,2.51,2-4 days
apple,refrigerator,0.6859,3.29,84.06,1,21.69,7+ days
apple,room_temp,0.1645,37.32,84.38,1,2.02,2-4 days
apple,freezer,0.5005,-10.79,61.69,1,76.37,7+ days
apple,refrigerator,0.1393,6.23,86.41,1,10.15,7+ days
apple,room_temp,0.3854,30.06,38.37,1,6.27,4-7 days
apple,room_temp,0.0717,19.69,46.14,1,4.98,4-7 days
apple,refrigerator,0.824,5.21,85.35,1,26.71,7+ days
apple,room_temp,0.2182,40.59,87.58,1,4.13,4-7 days
apple,room_temp,0.2515,35.96,61.35,1,3.95,2-4 days
apple,refrigerator,0.2259,6.31,90.99,1,10.98,7+ days
apple,refrigerator,0.6421,3.33,87.79,1,17.28,7+ days
apple,refrigerator,0.2377,5.25,90.45,1,11.59,7+ days
apple,refrigerator,0.1801,2.7,85.06,1,10.34,7+ days
apple,room_temp,0.44,37.03,39.14,1,6.22,4-7 days
apple,room_temp,0.4368,29.64,55.02,1,6.37,4-7 days
apple,refrigerator,0.1552,7.41,83.05,1,11.24,7+ days
apple,room_temp,0.3512,37.29,61.01,1,6.14,4-7 days
apple,freezer,0.7052,-12.77,63.13,1,92.53,7+ days
apple,refrigerator,0.1888,5.5,91.73,1,9.68,7+ days
apple,refrigerator,0.7541,7.34,91.25,1,24.61,7+ days
apple,freezer,0.7374,-12.84,55.42,1,102.41,7+ days
apple,room_temp,0.1965,34.71,57.97,1,3.48,2-4 days
apple,refrigerator,0.7532,3.62,82.86,1,23.33,7+ days
apple,refrigerator,0.2878,2.53,90.48,1,12.24,7+ days
apple,room_temp,0.1797,34.0,54.38,1,3.76,2-4 days
apple,freezer,0.7202,-19.33,51.9,1,105.72,7+ days
apple,freezer,0.8025,-16.4,65.67,1,90.92,7+ days
apple,refrigerator,0.6034,7.02,89.29,1,17.86,7+ days
apple,refrigerator,0.8967,5.58,93.92,1,25.66,7+ days
apple,freezer,0.6656,-15.45,63.5,1,81.89,7+ days
apple,refrigerator,0.6832,2.94,89.54,1,19.66,7+ days
apple,refrigerator,0.1891,5.66,90.49,1,10.51,7+ days
apple,refrigerator,0.6731,7.53,88.75,1,23.02,7+ days
apple,refrigerator,0.8547,5.95,83.17,1,22.33,7+ days
apple,freezer,0.7508,-19.38,56.71,1,108.3,7+ days
apple,room_temp,0.3044,23.5,63.15,1,7.16,7+ days
apple,room_temp,0.0728,25.19,48.95,1,3.08,2-4 days
apple,room_temp,0.418,38.75,44.3,1,4.29,4-7 days
apple,room_temp,0.422,32.98,51.42,1,5.68,4-7 days
apple,room_temp,0.3075,31.78,75.03,1,3.57,2-4 days
apple,refrigerator,0.6981,4.96,87.25,1,24.0,7+ days
apple,refrigerator,0.5292,7.71,82.63,1,17.01,7+ days
apple,refrigerator,0.0231,5.43,82.78,1,9.45,7+ days
apple,room_temp,0.1055,26.82,40.22,1,3.39,2-4 days
apple,refrigerator,0.7811,3.58,80.01,1,25.51,7+ days
apple,freezer,0.5877,-10.79,50.8,1,91.13,7+ days
apple,room_temp,0.5249,28.32,70.81,1,5.66,4-7 days
apple,freezer,0.6736,-19.65,61.02,1,97.5,7+ days
apple,room_temp,0.7226,22.16,57.79,1,10.22,7+ days
apple,refrigerator,0.5239,4.32,80.99,1,17.14,7+ days
apple,room_temp,0.479,32.68,75.71,1,7.3,7+ days
apple,room_temp,0.2206,25.49,55.4,1,6.0,4-7 days
apple,room_temp,0.5405,19.48,40.54,1,7.05,7+ days
apple,room_temp,0.1188,36.03,80.23,1,3.32,2-4 days
apple,refrigerator,0.4266,4.41,93.27,1,18.84,7+ days
apple,freezer,0.7114,-11.69,52.4,1,105.73,7+ days
apple,refrigerator,0.8346,5.28,93.54,1,23.65,7+ days
apple,room_temp,0.1763,25.84,35.65,1,5.29,4-7 days
apple,refrigerator,0.7402,2.19,89.88,1,24.32,7+ days
apple,refrigerator,0.363,2.32,90.38,1,12.71,7+ days
apple,room_temp,0.1218,26.42,56.75,1,3.54,2-4 days
apple,refrigerator,0.8314,6.85,92.35,1,21.7,7+ days
apple,room_temp,0.3139,29.41,59.46,1,5.17,4-7 days
apple,room_temp,0.6637,40.52,74.71,1,7.36,7+ days
apple,room_temp,0.4092,20.54,56.29,1,5.84,4-7 days
apple,room_temp,0.4356,28.06,45.09,1,6.93,4-7 days
apple,freezer,0.6478,-10.84,62.71,1,88.05,7+ days
apple,refrigerator,0.1717,7.0,88.1,1,11.3,7+ days
apple,refrigerator,0.174,5.44,84.88,1,11.47,7+ days
apple,room_temp,0.0164,37.33,91.81,1,1.49,1-2 days
apple,room_temp,0.3285,40.52,45.87,1,5.34,4-7 days
apple,refrigerator,0.464,7.39,81.26,1,15.0,7+ days
apple,room_temp,0.1219,40.24,60.18,1,1.99,1-2 days
apple,room_temp,0.1964,27.54,93.43,1,2.78,2-4 days
apple,refrigerator,0.8242,6.99,92.08,1,21.09,7+ days
apple,room_temp,0.2071,23.07,80.15,1,3.92,2-4 days
apple,room_temp,0.1908,36.24,44.23,1,3.8,2-4 days
apple,room_temp,0.1109,22.64,73.49,1,3.62,2-4 days
apple,room_temp,0.154,34.15,84.46,1,4.4,4-7 days
apple,room_temp,0.078,24.95,63.06,1,3.25,2-4 days
apple,refrigerator,0.7561,6.68,80.24,1,21.2,7+ days
apple,refrigerator,0.4365,2.62,81.89,1,13.37,7+ days
banana,freezer,0.5845,-15.71,55.52,1,86.99,7+ days
banana,refrigerator,0.3727,2.27,91.01,1,6.7,4-7 days
banana,room_temp,0.1387,33.15,60.58,1,1.79,1-2 days
banana,refrigerator,0.202,5.0,81.04,1,5.28,4-7 days
banana,room_temp,0.5306,34.75,89.02,1,2.98,2-4 days
banana,refrigerator,0.53,5.8,88.9,1,9.3,7+ days
banana,room_temp,0.2201,35.49,81.79,1,1.97,1-2 days
banana,room_temp,0.212,31.58,65.87,1,1.54,1-2 days
banana,room_temp,0.3114,22.25,94.24,1,2.72,2-4 days
banana,room_temp,0.2821,34.14,75.93,1,2.21,2-4 days
banana,room_temp,0.0794,30.0,78.81,1,1.22,1-2 days
banana,refrigerator,0.4301,7.78,81.62,1,7.03,7+ days
banana,room_temp,0.227,33.31,84.2,1,1.93,1-2 days
banana,room_temp,0.4256,33.38,62.97,1,2.94,2-4 days
banana,room_temp,0.3926,34.85,54.88,1,3.04,2-4 days
banana,refrigerator,0.2886,7.82,85.67,1,6.46,4-7 days
banana,room_temp,0.4613,20.76,88.0,1,3.09,2-4 days
banana,room_temp,0.1425,29.46,71.11,1,2.0,1-2 days
banana,refrigerator,0.861,5.31,88.93,1,11.17,7+ days
banana,freezer,0.6737,-17.04,52.87,1,90.74,7+ days
banana,room_temp,0.1924,29.44,72.81,1,2.21,2-4 days
banana,refrigerator,0.2711,7.62,90.08,1,7.21,7+ days
banana,room_temp,0.0193,28.56,73.64,1,1.99,1-2 days
banana,room_temp,0.4644,37.83,70.28,1,1.84,1-2 days
banana,room_temp,0.4287,30.99,71.31,1,3.7,2-4 days
banana,room_temp,0.5056,34.0,39.81,1,3.47,2-4 days
banana,room_temp,0.468,27.19,85.35,1,2.64,2-4 days
banana,room_temp,0.0146,19.17,40.88,1,2.06,2-4 days
banana,room_temp,0.4772,22.08,42.62,1,3.29,2-4 days
banana,room_temp,0.2943,18.1,75.23,1,3.08,2-4 days
banana,refrigerator,0.0313,3.89,85.9,1,4.37,4-7 days
banana,room_temp,0.2658,24.73,56.0,1,2.45,2-4 days
banana,refrigerator,0.9396,6.79,85.01,1,14.36,7+ days
banana,refrigerator,0.129,4.42,87.79,1,5.2,4-7 days
banana,freezer,0.9359,-16.42,61.88,1,91.98,7+ days
banana,refrigerator,0.4643,6.68,88.46,1,7.22,7+ days
banana,room_temp,0.0998,28.06,70.96,1,2.33,2-4 days
banana,refrigerator,0.3482,2.55,89.39,1,6.67,4-7 days
banana,refrigerator,0.3859,4.58,91.25,1,7.28,7+ days
banana,freezer,0.8309,-15.74,62.31,1,102.7,7+ days
banana,room_temp,0.3063,33.59,75.13,1,1.66,1-2 days
banana,refrigerator,0.9673,7.59,94.95,1,14.38,7+ days
banana,refrigerator,0.6384,7.15,87.5,1,8.95,7+ days
banana,refrigerator,0.2166,6.6,90.37,1,5.53,4-7 days
banana,freezer,0.7668,-15.73,62.9,1,90.96,7+ days
banana,refrigerator,0.0879,7.38,92.69,1,4.53,4-7 days
banana,room_temp,0.41,37.41,87.53,1,2.92,2-4 days
banana,room_temp,0.1866,30.01,73.74,1,2.69,2-4 days
banana,refrigerator,0.3319,6.51,92.18,1,6.12,4-7 days
banana,freezer,0.9031,-18.31,51.07,1,97.36,7+ days
banana,refrigerator,0.935,5.07,89.06,1,12.09,7+ days
banana,room_temp,0.1999,39.1,78.52,1,1.78,1-2 days
banana,room_temp,0.6025,40.61,52.9,1,2.8,2-4 days
banana,refrigerator,0.9408,5.12,86.61,1,11.78,7+ days
banana,freezer,0.5466,-15.85,58.44,1,78.67,7+ days
banana,refrigerator,0.1332,3.93,88.94,1,4.8,4-7 days
banana,freezer,0.8783,-10.85,66.88,1,100.69,7+ days
banana,refrigerator,0.8488,4.09,85.62,1,10.12,7+ days
banana,refrigerator,0.7365,4.05,86.66,1,11.32,7+ days
banana,refrigerator,0.1781,7.92,91.32,1,5.78,4-7 days
banana,room_temp,0.4245,26.1,84.65,1,3.3,2-4 days
banana,room_temp,0.3771,27.04,87.55,1,2.55,2-4 days
banana,freezer,0.8999,-18.36,65.66,1,104.69,7+ days
banana,room_temp,0.112,40.93,49.82,1,1.18,1-2 days
banana,freezer,0.8929,-16.23,57.87,1,90.63,7+ days
banana,refrigerator,0.1088,2.93,88.21,1,4.55,4-7 days
banana,room_temp,0.4021,22.3,58.53,1,3.39,2-4 days
banana,freezer,0.8563,-18.08,52.92,1,87.12,7+ days
banana,freezer,0.9368,-16.44,52.97,1,125.76,7+ days
banana,refrigerator,0.448,6.18,85.44,1,8.95,7+ days
banana,refrigerator,0.1011,2.15,90.35,1,4.58,4-7 days
banana,room_temp,0.4381,39.86,35.36,1,1.58,1-2 days
banana,room_temp,0.1186,39.23,68.24,1,0.73,0-1 days
banana,refrigerator,0.2031,6.43,88.96,1,5.33,4-7 days
banana,freezer,0.8388,-10.38,58.9,1,82.32,7+ days
